dbName,avgNumColumns,avgNumRows,overIndexing,primaryKeyValidation,RedundantRelationshipsValidation,label
db_1,9.9926419015578,174768.3066663715,0.13085284186795298,0,1,Not Good
db_2,19.21142890255866,492291.84316673875,0.12348939953599991,0,1,Good
db_3,15.711903068982481,786921.7939300034,0.45312729026051835,0,0,Not Good
db_4,13.578535747152586,661680.1489045095,0.12477309992475305,1,0,Good
db_5,6.496298247078984,727839.4215966902,0.1359748630643155,0,0,Good
db_6,6.495912325379242,596317.1963725385,0.37969913120898185,1,0,Good
db_7,4.929337794691191,626126.1424208886,0.22486992122527,1,1,Not Good
db_8,17.85881833239896,765784.1298931341,0.3883552784775906,0,0,Good
db_9,13.61784018789134,232204.52788467548,0.03268307878219262,0,1,Not Good
db_10,15.329161244736728,445588.217642395,0.24378559683669215,1,0,Good
db_11,4.329351908732839,206876.403219446,0.016806800091641316,1,0,Not Good
db_12,19.518557634591907,889024.5271170158,0.03132660172767726,0,0,Good
db_13,17.319082252806748,850212.8123210858,0.4532187266722055,0,0,Not Good
db_14,7.3974257708524185,45089.86211797025,0.06962268555879758,0,0,Not Good
db_15,6.90919947531361,637961.9035389627,0.26621034113760855,1,1,Not Good
db_16,6.934472157654941,833471.0024999426,0.20554780130035327,1,0,Not Good
db_17,8.867875887352604,170712.05716332686,0.17367166312942134,1,0,Not Good
db_18,12.396102906115805,515471.25519184023,0.44991667284363623,1,0,Not Good
db_19,10.911120298273852,824784.5848533573,0.01091169838774475,1,1,Good
db_20,8.65966624316867,40211.920941360964,0.33189484308779454,0,1,Not Good
db_21,13.789646315558072,630704.0378496875,0.4816972171067752,0,1,Not Good
db_22,6.231901770432669,274640.6165615702,0.28008409173092097,1,1,Not Good
db_23,8.67431437656349,832712.6138851121,0.4684112310165459,1,0,Good
db_24,9.861789492699067,874241.8381971773,0.026128939643011884,0,0,Good
db_25,11.297119747472575,850397.1753109562,0.2093966595370807,0,0,Good
db_26,16.562815382288218,432050.6528251428,0.13007889548102558,0,1,Not Good
db_27,7.194780514533756,777217.959380489,0.3654104824903649,0,0,Good
db_28,12.227751014617786,761648.9646962127,0.49064854524862334,1,0,Good
db_29,13.47863310179268,293999.4211864975,0.1282650312221239,0,1,Not Good
db_30,4.743206603519964,747734.7719941029,0.32708730073703723,1,1,Not Good
db_31,13.720717630423014,42936.79489678843,0.09904881637987006,0,1,Good
db_32,6.7283859789966645,540680.1918490272,0.28266512728580495,0,0,Not Good
db_33,5.040825487764472,214707.86518605571,0.2319662433441681,0,0,Not Good
db_34,19.18216859605333,117304.52834177815,0.48600266481576854,1,1,Not Good
db_35,19.45011252919295,78488.34944999615,0.3042636363482333,1,0,Not Good
db_36,16.93435756986338,629697.0105315443,0.1747531860434094,0,1,Good
db_37,8.873820306773931,312488.71775357885,0.057047892443966686,1,1,Not Good
db_38,5.562753824102142,655042.4266605977,0.07562341436746728,1,0,Good
db_39,14.94772842419451,68167.14331105871,0.11265846497561754,0,1,Good
db_40,11.04243989983362,290608.4006692432,0.125483330670149,0,1,Good
db_41,5.952611757516461,490147.2502140501,0.4253080289205689,1,1,Good
db_42,11.922830561780323,713743.6167066776,0.28061139414126246,1,0,Not Good
db_43,4.550216337843494,293689.7276095422,0.2616954556871832,1,1,Not Good
db_44,18.54912643326051,567043.3250289381,0.057384435934608735,0,1,Not Good
db_45,8.14047970560027,798520.1959302066,0.4300698466747175,0,1,Good
db_46,14.600356549663712,558118.237482251,0.36140715160424186,1,1,Good
db_47,8.987377217430575,217333.93253073405,0.03383418095000079,0,1,Good
db_48,12.321088338844973,31716.695585318837,0.35391754861488434,0,1,Not Good
